iter	Logloss
0	0.6810934577
1	0.6712446616
2	0.6626543394
3	0.6558800281
4	0.6476416789
5	0.6422269579
6	0.6364256093
7	0.631807193
8	0.6270171152
9	0.6237468451
10	0.6213410069
11	0.6183842941
12	0.6142456699
13	0.6122098036
14	0.6094525834
15	0.6075217019
16	0.6045983543
17	0.6026558675
18	0.6004662312
19	0.5977684881
20	0.5965970536
21	0.5946259834
22	0.5910236197
23	0.588220462
24	0.5863523349
25	0.5840913477
26	0.5829613914
27	0.5810392138
28	0.5796258416
29	0.5780207674
30	0.5768939273
31	0.5744205529
32	0.5728537331
33	0.5709464919
34	0.5702063332
35	0.5681922268
36	0.5676293172
37	0.5661188045
38	0.5646933972
39	0.5633104351
40	0.5606763061
41	0.5582843834
42	0.5567732798
43	0.5553974098
44	0.5541572034
45	0.5525641643
46	0.5514028845
47	0.5503848439
48	0.5476371335
49	0.546324018
50	0.5453460049
51	0.5440362205
52	0.5424740214
53	0.5411811076
54	0.5391090286
55	0.5383311527
56	0.537176374
57	0.5351552829
58	0.5344154465
59	0.5319620052
60	0.5309288132
61	0.5299372069
62	0.5289609667
63	0.5271375414
64	0.526435261
65	0.5258674084
66	0.52495446
67	0.5242538989
68	0.522886518
69	0.5209749249
70	0.5196502041
71	0.5183726029
72	0.5164294176
73	0.5149135321
74	0.5115303254
75	0.5095943397
76	0.5081449697
77	0.5059030022
78	0.5048808246
79	0.5029978148
80	0.5014363678
81	0.499715026
82	0.4974789687
83	0.4962238795
84	0.4959210141
85	0.4934424817
86	0.4915060661
87	0.490794437
88	0.4898761696
89	0.4883355154
90	0.4857537176
91	0.4844587622
92	0.4841273133
93	0.4818534851
94	0.4807626429
95	0.4789580224
96	0.4775322928
97	0.4755031962
98	0.4734512114
99	0.4718214223
