iter	Passed	Remaining
0	178	17712
1	179	8806
2	180	5832
3	181	4346
4	181	3454
5	182	2859
6	183	2434
7	184	2117
8	184	1869
9	185	1669
10	186	1506
11	186	1371
12	187	1256
13	188	1157
14	189	1071
15	189	996
16	190	931
17	191	872
18	192	819
19	192	771
20	193	728
21	194	689
22	195	653
23	195	620
24	196	589
25	197	561
26	198	535
27	198	511
28	199	488
29	200	467
30	201	447
31	201	428
32	202	411
33	203	394
34	203	378
35	204	364
36	205	350
37	206	336
38	207	323
39	207	311
40	208	300
41	209	288
42	209	278
43	210	268
44	211	258
45	212	249
46	212	240
47	213	231
48	214	223
49	215	215
50	215	207
51	216	199
52	217	192
53	217	185
54	218	178
55	219	172
56	220	166
57	220	159
58	221	154
59	222	148
60	223	142
61	224	137
62	224	132
63	225	126
64	226	121
65	226	116
66	227	112
67	228	107
68	229	102
69	229	98
70	230	94
71	231	89
72	232	85
73	232	81
74	233	77
75	234	73
76	234	70
77	235	66
78	236	62
79	237	59
80	237	55
81	238	52
82	239	49
83	240	45
84	240	42
85	241	39
86	242	36
87	242	33
88	243	30
89	244	27
90	245	24
91	245	21
92	246	18
93	247	15
94	247	13
95	248	10
96	249	7
97	250	5
98	251	2
99	251	0
