game_id,week,gameday,away_team,home_team,spread_line,total_line,home_moneyline,away_moneyline,home_elo,away_elo,elo_diff,elo_prob
2025_15_MIA_PIT,15,2025-12-15,MIA,PIT,3.0,42.5,-175.0,145.0,1508.1531239407648,1525.511119178351,-17.357995237586238,0.5439834097091718
2025_16_ATL_ARI,16,2025-12-21,ATL,ARI,-2.5,47.5,120.0,-142.0,1328.2177380919322,1350.5657118764098,-22.347973784477517,0.5368492995111145
2025_16_BUF_CLE,16,2025-12-21,BUF,CLE,-10.0,42.5,425.0,-575.0,1259.2651514523293,1720.7168953569064,-461.45174390457714,0.08470904951600754
2025_16_CIN_MIA,16,2025-12-21,CIN,MIA,1.5,50.5,-115.0,-105.0,1525.511119178351,1353.493516667753,172.01760251059795,0.7801469840623634
2025_16_GB_CHI,16,2025-12-20,GB,CHI,-1.5,46.5,100.0,-120.0,1611.423728855924,1720.40032856613,-108.97659971020585,0.41313763561992556
2025_16_JAX_DEN,16,2025-12-21,JAX,DEN,3.0,45.5,-148.0,124.0,1809.5423429906193,1632.8206920278828,176.72165096273648,0.7847562087547697
2025_16_KC_TEN,16,2025-12-21,KC,TEN,-3.5,37.5,160.0,-192.0,1165.1272219209434,1560.6562496030256,-395.5290276820822,0.11914645792695738
2025_16_LAC_DAL,16,2025-12-21,LAC,DAL,1.5,49.5,-125.0,105.0,1457.8959302476983,1601.311572410825,-143.41564216312668,0.36603690339981587
2025_16_LA_SEA,16,2025-12-18,LA,SEA,-1.5,44.5,-110.0,-110.0,1766.2562516176656,1787.7827362939058,-21.526484676240216,0.5380248891296924
2025_16_LV_HOU,16,2025-12-21,LV,HOU,14.5,37.5,-1600.0,900.0,1740.7006587347078,1174.4853025717791,566.2153561629286,0.9716868661420662
2025_16_MIN_NYG,16,2025-12-21,MIN,NYG,-3.0,43.5,124.0,-148.0,1232.8614761172641,1525.2326300353584,-292.37115391809425,0.19675295065639556
2025_16_NE_BAL,16,2025-12-21,NE,BAL,2.5,48.5,-148.0,124.0,1536.359051030562,1619.0816598257472,-82.72260879518535,0.45019585249821276
2025_16_NYJ_NO,16,2025-12-21,NYJ,NO,4.5,40.5,-225.0,185.0,1338.773306382139,1263.4302866077057,75.34301977443329,0.6704054678401087
2025_16_PHI_WAS,16,2025-12-20,PHI,WAS,-6.5,45.5,250.0,-310.0,1375.0391768032387,1639.0970258163609,-264.0578490131222,0.2237875740198352
2025_16_PIT_DET,16,2025-12-21,PIT,DET,7.0,49.5,-310.0,250.0,1643.1226058838445,1508.1531239407648,134.9694819430797,0.741399842709569
