iter	Logloss
0	0.6387150531
1	0.5956528041
2	0.5513525166
3	0.5217854978
4	0.4977528549
5	0.4743200499
6	0.4570830958
7	0.4364494008
8	0.4202945867
9	0.4034132497
10	0.3877817489
11	0.3744259244
12	0.3629973021
13	0.3526943189
14	0.3433389256
15	0.3359601926
16	0.328636957
17	0.3217030261
18	0.3156519181
19	0.3105980386
20	0.3056034487
21	0.3021992038
22	0.2986472065
23	0.294392382
24	0.290611874
25	0.2864219972
26	0.2832759178
27	0.2801827877
28	0.2772406604
29	0.2751346465
30	0.2724417562
31	0.2695142356
32	0.2670004379
33	0.2648457484
34	0.2628125273
35	0.2604646802
36	0.258476483
37	0.256161802
38	0.2538444323
39	0.2518009986
40	0.2503064599
41	0.2483009273
42	0.246854362
43	0.2453256541
44	0.2437238123
45	0.2420830861
46	0.2401371441
47	0.2388121876
48	0.2375896787
49	0.2362907856
50	0.2350792919
51	0.2339368591
52	0.2326722756
53	0.2316036989
54	0.2306442512
55	0.2294246516
56	0.228519377
57	0.227435712
58	0.2263218706
59	0.2251342533
60	0.2244482398
61	0.2237197505
62	0.2224767962
63	0.2216750126
64	0.2207882371
65	0.220083263
66	0.2191556972
67	0.2179276907
68	0.217124643
69	0.216334958
70	0.2155315492
71	0.2146042442
72	0.2137498925
73	0.2130993725
74	0.2120045318
75	0.2114917121
76	0.210775823
77	0.2099956485
78	0.209017842
79	0.2083699905
80	0.2078028973
81	0.2070663422
82	0.2065548267
83	0.2060107671
84	0.2053987101
85	0.2047874355
86	0.2042119755
87	0.2036452635
88	0.2029562605
89	0.2023341312
90	0.2017336713
91	0.2013035761
92	0.2006990632
93	0.2001257902
94	0.1994897766
95	0.1988754925
96	0.1981716419
97	0.1976485293
98	0.1971431935
99	0.1964242347
100	0.1960747171
101	0.1956022464
102	0.1951922957
103	0.1946854952
104	0.194043041
105	0.1935620631
106	0.1930247049
107	0.1924665603
108	0.1919036604
109	0.1914213382
110	0.1909119094
111	0.1902986284
112	0.1899348252
113	0.1895242524
114	0.1888934354
115	0.1885209444
116	0.1879719892
117	0.1874568219
118	0.1868311414
119	0.1863713111
120	0.1859403732
121	0.1854467749
122	0.1850079117
123	0.184335281
124	0.1839895756
125	0.183733557
126	0.1833887746
127	0.183172483
128	0.1828538643
129	0.1824002338
130	0.1820027027
131	0.1818362505
132	0.1814962433
133	0.1810966457
134	0.1805567193
135	0.1801060182
136	0.1798641649
137	0.1795674361
138	0.1791848528
139	0.1786701872
140	0.1783109185
141	0.1778928016
142	0.1774581317
143	0.1771037586
144	0.1766231419
145	0.1763065897
146	0.1758326744
147	0.1754074949
148	0.1750233868
149	0.1745262372
150	0.1742270405
151	0.1736995338
152	0.1733950603
153	0.1730934961
154	0.172860792
155	0.1725772454
156	0.1720916527
157	0.1717167741
158	0.1709557809
159	0.1706082697
160	0.1702811839
161	0.1698116425
162	0.1692192685
163	0.1689328527
164	0.1686938685
165	0.1683524569
166	0.1682110849
167	0.1679188103
168	0.1673879128
169	0.1670275907
170	0.1665799494
171	0.1663163666
172	0.1659916784
173	0.1656228692
174	0.1653227696
175	0.164837197
176	0.1643504005
177	0.1638933792
178	0.1634797567
179	0.1631005241
180	0.1628542166
181	0.1626211112
182	0.1622819167
183	0.1620479988
184	0.1617810652
185	0.1613614435
186	0.1609382905
187	0.1607566096
188	0.1602282402
189	0.1600187303
190	0.1597289136
191	0.1591581587
192	0.1589277118
193	0.1584869726
194	0.1581940359
195	0.1579321987
196	0.1576575104
197	0.157132883
198	0.1567075731
199	0.1565013838
