iter	Passed	Remaining
0	147	29399
1	149	14825
2	153	10052
3	155	7602
4	157	6132
5	159	5168
6	161	4465
7	163	3933
8	166	3528
9	168	3197
10	170	2925
11	173	2710
12	175	2523
13	177	2361
14	180	2221
15	182	2095
16	184	1983
17	186	1888
18	188	1800
19	191	1720
20	194	1654
21	196	1589
22	205	1580
23	208	1525
24	210	1471
25	212	1422
26	214	1375
27	216	1330
28	218	1290
29	220	1251
30	222	1215
31	224	1180
32	227	1149
33	229	1118
34	231	1089
35	233	1064
36	235	1038
37	237	1013
38	240	992
39	242	970
40	244	948
41	247	930
42	249	910
43	251	891
44	254	875
45	256	857
46	258	840
47	267	846
48	269	830
49	271	814
50	273	799
51	275	785
52	277	770
53	280	758
54	282	744
55	284	732
56	286	719
57	289	707
58	291	695
59	293	684
60	295	673
61	297	662
62	299	652
63	301	641
64	303	631
65	305	621
66	308	612
67	310	602
68	312	593
69	315	585
70	317	576
71	319	568
72	321	559
73	323	551
74	325	543
75	328	535
76	330	528
77	332	520
78	341	523
79	343	515
80	345	508
81	348	501
82	350	493
83	352	486
84	354	480
85	356	473
86	358	466
87	360	459
88	363	452
89	365	446
90	367	439
91	369	433
92	371	427
93	373	421
94	375	415
95	377	409
96	379	403
97	382	397
98	384	392
99	386	386
100	388	381
101	390	375
102	392	369
103	395	364
104	397	359
105	399	354
106	401	349
107	404	344
108	406	339
109	408	334
110	410	329
111	412	324
112	414	319
113	417	314
114	419	310
115	421	305
116	424	300
117	426	296
118	428	291
119	430	287
120	432	282
121	434	278
122	437	273
123	439	269
124	441	264
125	443	260
126	446	256
127	448	252
128	450	248
129	452	243
130	454	239
131	457	235
132	459	231
133	461	227
134	464	223
135	466	219
136	468	215
137	471	211
138	473	207
139	475	203
140	478	200
141	480	196
142	483	192
143	485	188
144	487	185
145	490	181
146	493	177
147	495	174
148	498	170
149	500	166
150	503	163
151	505	159
152	507	155
153	510	152
154	523	152
155	525	148
156	527	144
157	529	140
158	532	137
159	534	133
160	536	129
161	539	126
162	541	123
163	544	119
164	546	115
165	548	112
166	551	108
167	553	105
168	555	101
169	558	98
170	560	95
171	562	91
172	565	88
173	567	84
174	569	81
175	572	78
176	574	74
177	576	71
178	579	67
179	581	64
180	583	61
181	585	57
182	587	54
183	589	51
184	592	48
185	594	44
186	596	41
187	599	38
188	601	34
189	603	31
190	605	28
191	607	25
192	609	22
193	611	18
194	613	15
195	615	12
196	617	9
197	620	6
198	622	3
199	624	0
