iter	Passed	Remaining
0	3	750
1	6	671
2	10	674
3	13	644
4	15	620
5	19	624
6	22	612
7	25	609
8	33	709
9	36	687
10	39	681
11	42	669
12	45	655
13	49	653
14	52	646
15	55	636
16	58	632
17	61	623
18	64	615
19	72	656
20	77	659
21	80	650
22	83	641
23	87	638
24	90	632
25	93	625
26	97	624
27	100	618
28	103	612
29	107	609
30	116	636
31	119	629
32	123	625
33	127	623
34	130	616
35	133	609
36	137	604
37	140	597
38	142	590
39	146	586
40	154	597
41	158	594
42	161	588
43	164	583
44	167	577
45	170	570
46	173	564
47	176	560
48	179	553
49	182	547
50	186	543
51	188	537
52	197	547
53	200	540
54	203	535
55	206	532
56	210	527
57	212	521
58	216	517
59	219	511
60	221	505
61	226	503
62	228	497
63	236	503
64	240	499
65	243	494
66	247	490
67	249	484
68	252	479
69	256	476
70	259	471
71	262	467
72	266	463
73	269	458
74	277	462
75	281	459
76	285	455
77	288	450
78	291	445
79	294	441
80	297	436
81	300	432
82	303	428
83	306	423
84	309	418
85	316	420
86	321	417
87	324	413
88	327	408
89	330	404
90	334	400
91	337	396
92	340	391
93	344	387
94	347	383
95	350	379
96	353	375
97	361	376
98	364	372
99	367	367
100	370	363
101	374	359
102	377	355
103	380	351
104	383	347
105	386	342
106	389	338
107	393	335
108	396	330
109	404	330
110	407	327
111	411	323
112	415	319
113	418	315
114	421	311
115	425	307
116	427	303
117	431	299
118	434	295
119	438	292
120	444	290
121	447	286
122	451	282
123	455	278
124	458	275
125	461	271
126	465	267
127	468	263
128	471	259
129	474	255
130	482	254
131	486	250
132	489	246
133	492	242
134	495	238
135	498	234
136	502	231
137	505	226
138	507	222
139	511	219
140	515	215
141	519	212
142	526	209
143	530	206
144	533	202
145	535	198
146	539	194
147	542	190
148	545	186
149	548	182
150	552	179
151	555	175
152	558	171
153	568	169
154	575	166
155	580	163
156	583	159
157	586	155
158	590	152
159	593	148
160	596	144
161	599	140
162	607	137
163	611	134
164	614	130
165	617	126
166	620	122
167	623	118
168	626	114
169	630	111
170	633	107
171	636	103
172	639	99
173	647	96
174	650	92
175	653	89
176	656	85
177	660	81
178	663	77
179	665	73
180	669	70
181	672	66
182	675	62
183	678	59
184	681	55
185	689	51
186	692	48
187	695	44
188	699	40
189	702	36
190	705	33
191	708	29
192	711	25
193	714	22
194	717	18
195	720	14
196	723	11
197	732	7
198	734	3
199	738	0
