feature,category,r,mae,mape,status
road_OTLosses,EXACT MATCH,1.0,0.0,0.0,PASS
punting_fairCatches,PARTIAL MATCH,1.0,0.0,0.0,PASS
scoring_fieldGoals,EXACT MATCH,1.0,0.0,0.0,PASS
punting_touchbacks,PARTIAL MATCH,1.0,0.0,0.0,PASS
punting_longPunt,EXACT MATCH,1.0,0.0,0.0,PASS
scoring_kickExtraPointsMade,EXACT MATCH,1.0,0.0,0.0,PASS
returning_longKickReturn,EXACT MATCH,1.0,0.0,0.0,PASS
passing_longPassing,PARTIAL MATCH,1.0,0.0,0.0,PASS
road_wins,EXACT MATCH,1.0,0.0,0.0,PASS
home_OTLosses,EXACT MATCH,1.0,0.0,0.0,PASS
returning_longPuntReturn,EXACT MATCH,1.0,0.0,0.0,PASS
passing_completions,EXACT MATCH,1.0,0.0,0.0,PASS
home_losses,EXACT MATCH,1.0,0.0,0.0,PASS
road_losses,EXACT MATCH,1.0,0.0,0.0,PASS
scoring_twoPointPassConvs,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalAttempts50,EXACT MATCH,1.0,0.0,0.0,PASS
punting_puntYards,EXACT MATCH,1.0,0.0,0.0,PASS
total_losses,EXACT MATCH,1.0,0.0,0.0,PASS
returning_kickReturnTouchdowns,EXACT MATCH,1.0,0.0,0.0,PASS
defensive_safeties,PARTIAL MATCH,1.0,0.0,0.0,PASS
passing_twoPtPass,PARTIAL MATCH,1.0,0.0,0.0,PASS
passing_sacks,EXACT MATCH,1.0,0.0,0.0,PASS
scoring_receivingTouchdowns,EXACT MATCH,1.0,0.0,0.0,PASS
scoring_passingTouchdowns,EXACT MATCH,1.0,0.0,0.0,PASS
passing_passingTouchdowns,EXACT MATCH,1.0,0.0,0.0,PASS
defensiveInterceptions_interceptionTouchdowns,PARTIAL MATCH,1.0,0.0,0.0,PASS
total_wins,EXACT MATCH,1.0,0.0,0.0,PASS
passing_interceptions,EXACT MATCH,1.0,0.0,0.0,PASS
receiving_receivingTouchdowns,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalsMadeYards,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalsMade30_39,EXACT MATCH,1.0,0.0,0.0,PASS
home_wins,EXACT MATCH,1.0,0.0,0.0,PASS
returning_kickReturnFairCatches,EXACT MATCH,1.0,0.0,0.0,PASS
scoring_rushingTouchdowns,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_totalKickingPoints,PARTIAL MATCH,1.0,0.0,0.0,PASS
kicking_longFieldGoalAttempt,PARTIAL MATCH,1.0,0.0,0.0,PASS
total_pointsFor,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalsMissedYards,EXACT MATCH,1.0,0.0,0.0,PASS
total_pointDifferential,EXACT MATCH,1.0,0.0,0.0,PASS
rushing_rushingTouchdowns,EXACT MATCH,1.0,0.0,0.0,PASS
rushing_totalPoints,PARTIAL MATCH,1.0,0.0,0.0,PASS
total_differential,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalsMade50_59,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalsMade1_19,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalAttempts1_19,EXACT MATCH,1.0,0.0,0.0,PASS
defensiveInterceptions_interceptions,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_extraPointAttempts,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalsMade,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_extraPointsMade,EXACT MATCH,1.0,0.0,0.0,PASS
receiving_receptions,EXACT MATCH,1.0,0.0,0.0,PASS
receiving_totalPoints,PARTIAL MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalAttempts20_29,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalAttempts30_39,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalAttempts40_49,EXACT MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalAttempts50_59,EXACT MATCH,1.0,0.0,0.0,PASS
passing_totalPoints,PARTIAL MATCH,1.0,0.0,0.0,PASS
kicking_fieldGoalsMade20_29,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
kicking_extraPointsBlocked,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
defensive_sacks,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
kicking_longFieldGoalMade,PARTIAL MATCH,0.9999999999999998,0.0,0.0,PASS
kicking_fieldGoalsMade40_49,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
kicking_fieldGoalsMade60_99,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
total_pointsAgainst,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
rushing_twoPtRush,PARTIAL MATCH,0.9999999999999998,0.0,0.0,PASS
scoring_twoPointRushConvs,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
kicking_fieldGoalAttemptYards,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
total_OTWins,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
total_OTLosses,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
punting_puntsBlocked,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
passing_sackYardsLost,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
scoring_totalTwoPointConvs,EXACT MATCH,0.9999999999999998,0.0,0.0,PASS
returning_puntReturnFairCatches,EXACT MATCH,0.9999999999999996,0.0,0.0,PASS
punting_puntsInside20,EXACT MATCH,0.9999999999999996,0.0,0.0,PASS
kicking_fieldGoalsMade50,EXACT MATCH,0.9999999999999996,0.0,0.0,PASS
