feature1,feature2,correlation
rushing_yardsFromScrimmagePerGame,rushing_netYardsPerGame,1.0
rushing_totalPoints,total_pointsFor,1.0
receiving_netTotalYards,rushing_totalYardsFromScrimmage,1.0
receiving_netTotalYards,rushing_totalYards,1.0
passing_netTotalYards,passing_totalYards,1.0
passing_totalYardsFromScrimmage,passing_totalYards,1.0
passing_totalYardsFromScrimmage,rushing_totalYardsFromScrimmage,1.0
passing_totalYardsFromScrimmage,receiving_netTotalYards,1.0
rushing_twoPtRush,scoring_twoPointRushConvs,1.0
receiving_receivingBigPlays,passing_passingBigPlays,1.0
scoring_kickExtraPoints,kicking_extraPointAttempts,1.0
passing_passingTouchdowns,scoring_receivingTouchdowns,1.0
passing_passingTouchdowns,scoring_passingTouchdowns,1.0
miscellaneous_firstDownsPassing,passing_passingFirstDowns,1.0
rushing_yardsFromScrimmagePerGame,receiving_yardsFromScrimmagePerGame,1.0
rushing_yardsFromScrimmagePerGame,passing_netYardsPerGame,1.0
passing_netTotalYards,rushing_totalYardsFromScrimmage,1.0
receiving_netTotalYards,passing_totalYards,1.0
passing_yardsFromScrimmagePerGame,passing_netYardsPerGame,1.0
passing_yardsFromScrimmagePerGame,rushing_netYardsPerGame,1.0
passing_yardsFromScrimmagePerGame,receiving_yardsFromScrimmagePerGame,1.0
receiving_totalPointsPerGame,passing_totalPointsPerGame,1.0
receiving_totalPointsPerGame,total_avgPointsFor,1.0
passing_netTotalYards,rushing_totalYards,1.0
receiving_totalPointsPerGame,rushing_totalPointsPerGame,1.0
passing_netTotalYards,receiving_netTotalYards,1.0
passing_netTotalYards,passing_totalYardsFromScrimmage,1.0
total_pointDifferential,total_differential,1.0
scoring_passingTouchdowns,scoring_receivingTouchdowns,1.0
passing_netYardsPerGame,rushing_netYardsPerGame,1.0
passing_netTotalYards,receiving_totalYards,1.0
passing_netTotalYards,receiving_totalYardsFromScrimmage,1.0
passing_netTotalYards,rushing_netTotalYards,1.0
rushing_yardsFromScrimmagePerGame,passing_yardsFromScrimmagePerGame,1.0
scoring_rushingTouchdowns,rushing_rushingTouchdowns,1.0
passing_netPassingYards,passing_passingYards,1.0
rushing_netTotalYards,passing_totalYards,1.0
receiving_totalYardsFromScrimmage,passing_totalYardsFromScrimmage,1.0
receiving_totalYardsFromScrimmage,receiving_totalYards,1.0
passing_passingAttempts,passing_netPassingAttempts,1.0
rushing_rushingFirstDowns,miscellaneous_firstDownsRushing,1.0
general_fumblesLost,miscellaneous_fumblesLost,1.0
