feature,r_winpct,p_value,abs_r,significant,r_ptdiff,p_ptdiff,importance,norm_r,norm_importance,combined_score,rank
total_leagueWinPercent,0.9999999999999996,0.0,0.9999999999999996,True,0.9101824386822358,8.37817e-319,0.940632940787225,1.0,1.0,1.0,1
total_losses,-0.9969470147483926,0.0,0.9969470147483926,True,-0.9076864443799472,4.0919064233e-314,0.058918353260395157,0.996929425347494,0.06263692318821601,0.5297831742678549,2
total_differential,0.9101824386822358,8.37817e-319,0.9101824386822358,True,1.0,0.0,5.9254389855257284e-08,0.9096649657946866,6.299416837938311e-08,0.45483251439442746,3
home_wins,0.8579195318989572,2.113542194200561e-241,0.8579195318989572,True,0.785528419944896,1.494582889015999e-174,2.2093837562101174e-06,0.8571009526699743,2.3488266893576465e-06,0.42855165074833185,4
road_winPercent,0.8573951028571357,8.633835254683188e-241,0.8573951028571357,True,0.776064999973718,9.538654836650605e-168,2.0982262002408428e-18,0.8565735021944086,2.111023797054857e-18,0.4282867510972043,5
home_winPercent,0.8559734559856127,3.8090617610618547e-239,0.8559734559856127,True,0.78377254567292,2.904297722616799e-173,1.3306106024860566e-07,0.8551436646784182,1.41459069184982e-07,0.4275719030687437,6
road_wins,0.8538323566770027,1.0583103700355053e-236,0.8538323566770027,True,0.7732668484395431,8.470831587667085e-166,9.63032976698364e-07,0.8529902296881721,1.023813790629403e-06,0.42649562675098135,7
road_losses,-0.8467610198481378,6.700371080711339e-229,0.8467610198481378,True,-0.7667518662999712,2.280051603710317e-161,1.6662592221791844e-06,0.8458781522175663,1.771423421323692e-06,0.4229399618204938,8
home_losses,-0.8417771149213098,1.2331854354480065e-223,0.8417771149213098,True,-0.7706167383535665,5.5929459142568175e-164,3.606985046417917e-07,0.8408655331324388,3.8346361157605963e-07,0.4204329582980252,9
receiving_totalPoints,0.7524502669663892,3.918353738456263e-152,0.7524502669663892,True,0.8246407706877608,7.72462226852533e-207,7.33221714546074e-07,0.7510240394749544,7.79498232256592e-07,0.37551240948659337,10
rushing_totalPoints,0.7524502669663892,3.918353738456263e-152,0.7524502669663892,True,0.8246407706877608,7.72462226852533e-207,6.375371560211517e-07,0.7510240394749544,6.777746434092326e-07,0.3755123586247989,11
total_pointsFor,0.7524502669663892,3.918353738456263e-152,0.7524502669663892,True,0.8246407706877608,7.72462226852533e-207,2.8654471294976064e-07,0.7510240394749544,3.046296812759247e-07,0.37551217205231785,12
passing_totalPoints,0.7524502669663892,3.918353738456263e-152,0.7524502669663892,True,0.8246407706877608,7.72462226852533e-207,2.2579491313501172e-07,0.7510240394749544,2.400457217093941e-07,0.3755121397603381,13
receiving_totalPointsPerGame,0.7399287129955612,1.492454605681868e-144,0.7399287129955612,True,0.818756988858073,1.727852382204155e-201,1.6087863475332943e-05,0.7384303441033265,1.7103232066132765e-05,0.36922372366769635,14
passing_totalPointsPerGame,0.7399287129955612,1.492454605681868e-144,0.7399287129955612,True,0.818756988858073,1.727852382204155e-201,2.733862094807859e-06,0.7384303441033265,2.9064069269355485e-06,0.3692166252551267,15
total_avgPointsFor,0.7399287129955612,1.492454605681868e-144,0.7399287129955612,True,0.818756988858073,1.727852382204155e-201,3.5099439869752243e-07,0.7384303441033265,3.7314704118660696e-07,0.36921535862518384,16
rushing_totalPointsPerGame,0.7399287129955612,1.492454605681868e-144,0.7399287129955612,True,0.818756988858073,1.727852382204155e-201,1.5919499890118322e-07,0.7384303441033265,1.692424239021853e-07,0.3692152566728752,17
total_avgPointsAgainst,-0.6607230475787808,3.976378638511101e-105,0.6607230475787808,True,-0.7159255214550923,3.5238376956185594e-131,2.154555174688936e-06,0.6587683449385332,2.2905376595525715e-06,0.3293853177380964,18
total_pointsAgainst,-0.6144055804674834,3.404340753482498e-87,0.6144055804674834,True,-0.6777160154846102,1.5459144016381991e-112,1.6730650681295378e-06,0.6121840254088622,1.778658811086523e-06,0.30609290203383666,19
miscellaneous_turnOverDifferential,0.6125875660925666,1.4985542250086093e-86,0.6125875660925666,True,0.6326945271799885,6.547894817240356e-94,2.005446637003937e-06,0.6103555367666151,2.1320182932626686e-06,0.3051788343924542,20
kicking_extraPointsMade,0.5504526067967856,7.557699390054918e-67,0.5504526067967856,True,0.5878858830351155,3.3211221235591084e-78,3.9738465728667145e-06,0.5478625945070036,4.2246517217873e-06,0.2739334095793627,21
scoring_kickExtraPointsMade,0.5504526067967856,7.557699390054918e-67,0.5504526067967856,True,0.5878858830351155,3.3211221235591084e-78,3.857309335270079e-06,0.5478625945070036,4.100759358950098e-06,0.2739333476331813,22
scoring_kickExtraPoints,0.5463759749668492,1.0713935341025282e-65,0.5463759749668492,True,0.5828684335950914,1.3483863717290834e-76,3.1774853838430287e-06,0.5437624756616821,3.3780290334970058e-06,0.2718829268453578,23
kicking_extraPointAttempts,0.5463759749668492,1.0713935341025282e-65,0.5463759749668492,True,0.5828684335950914,1.3483863717290834e-76,1.837596998297403e-06,0.5437624756616821,1.953575001061931e-06,0.2718822146183416,24
scoring_totalPoints,0.4936286764060237,3.9386874935985294e-52,0.4936286764060237,True,0.5221500408477983,3.6065554203896977e-59,2.045867570113475e-18,0.49071127999547703,2.0553606070292683e-18,0.24535563999773852,25
scoring_totalTouchdowns,0.48926338274552356,4.121373822697357e-51,0.48926338274552356,True,0.522114645422528,3.683386670080731e-59,2.016674433872273e-06,0.4863208362297819,2.1439547207270725e-06,0.2431614900922513,26
passing_passingTouchdownPct,0.48218992537162586,1.7233375870892038e-49,0.48218992537162586,True,0.5101908776769146,3.8870885949157614e-56,2.8362783055261983e-07,0.4792066259968828,3.015287029126753e-07,0.23960346376279285,27
scoring_totalPointsPerGame,0.47657933963953786,3.130896354725689e-48,0.47657933963953786,True,0.5074630542803856,1.83909481014791e-55,4.133314339632782e-06,0.4735637155617297,4.394184129011533e-06,0.23678405487292936,28
receiving_receivingTouchdowns,0.4423866542525483,4.832473689416725e-41,0.4423866542525483,True,0.47072471070962896,6.09601911687789e-47,9.832075756850064e-06,0.43917403320242554,1.0452616882225485e-05,0.21959224290965387,29
passing_passingTouchdowns,0.4423866542525483,4.832473689416725e-41,0.4423866542525483,True,0.47072471070962896,6.09601911687789e-47,5.950054427995533e-06,0.43917403320242554,6.325585858194336e-06,0.21959017939414185,30
scoring_passingTouchdowns,0.4423866542525483,4.832473689416725e-41,0.4423866542525483,True,0.47072471070962896,6.09601911687789e-47,5.89743086524971e-06,0.43917403320242554,6.269641014606589e-06,0.2195901514217201,31
scoring_receivingTouchdowns,0.4423866542525483,4.832473689416725e-41,0.4423866542525483,True,0.47072471070962896,6.09601911687789e-47,1.0656557633390226e-06,0.43917403320242554,1.1329135065661768e-06,0.21958758305796605,32
scoring_rushingTouchdowns,0.4252175817623476,9.923254094518882e-38,0.4252175817623476,True,0.4580230125791894,3.1467910834349024e-44,3.2640802993404746e-06,0.4219060432022445,3.4700892960527415e-06,0.2109547566457703,33
rushing_rushingTouchdowns,0.4252175817623476,9.923254094518882e-38,0.4252175817623476,True,0.4580230125791894,3.1467910834349024e-44,4.4763167432452355e-07,0.4219060432022445,4.758834768743944e-07,0.21095325954286068,34
kicking_totalKickingPoints,0.40251055056045415,1.241229957163867e-33,0.40251055056045415,True,0.4083971568168486,1.1527870191220472e-34,1.4360859544758667e-06,0.39906818821899553,1.5267230098000604e-06,0.19953485747100266,35
passing_netYardsPerPassAttempt,0.40022237656991005,3.0866488573854816e-33,0.40022237656991005,True,0.41019108158945883,5.534681607324113e-35,2.2355272665673143e-06,0.39676683119403444,2.3766202198875436e-06,0.19838460390712717,36
passing_QBRating,0.3814830416499109,4.1241742211861355e-30,0.3814830416499109,True,0.39171232302880876,8.59074740627979e-32,2.223608502147359e-05,0.3779195318892364,2.3639492151809908e-05,0.18897158569069408,37
passing_quarterbackRating,0.3814830416499109,4.1241742211861355e-30,0.3814830416499109,True,0.39171232302880876,8.59074740627979e-32,3.6909633231829886e-07,0.3779195318892364,3.9239145931811183e-07,0.18895996214034785,38
defensiveInterceptions_interceptions,0.37286484571604817,9.688160907346787e-29,0.37286484571604817,True,0.37435269122326936,5.655931606066925e-29,1.8010695139871179e-06,0.369251683274206,1.9147421229791e-06,0.18462679900816448,39
miscellaneous_totalTakeaways,0.36521663908173113,1.4746013233993679e-27,0.36521663908173113,True,0.3654273388425009,1.369382562453592e-27,7.280914697895152e-06,0.36155941243336215,7.740441974955258e-06,0.18078357643766854,40
passing_yardsPerPassAttempt,0.35512505214481904,4.79413356423658e-26,0.35512505214481904,True,0.3633397366903106,2.8445210447377725e-27,1.0928617438931036e-07,0.3514096840533338,1.161836563981431e-07,0.1757049001184951,41
defensive_sackYards,0.35474245715445585,5.457229366620177e-26,0.35474245715445585,True,0.35865208871381515,1.4401503208300862e-26,4.164229764594704e-06,0.35102488478875604,4.427050748519934e-06,0.1755146559197523,42
defensive_sacks,0.33782886621411057,1.4067353044395767e-23,0.33782886621411057,True,0.3367115592168429,2.0060328841242195e-23,2.1017705046841665e-05,0.33401384826411384,2.2344215405907034e-05,0.16701809623975988,43
passing_totalYards,0.32891474106232266,2.292944676495865e-22,0.32891474106232266,True,0.3399816670611869,7.070711732124945e-24,1.8173544899158244e-06,0.3250483654711854,1.932054908043886e-06,0.16252514876304672,44
receiving_totalYardsFromScrimmage,0.32891474106232266,2.292944676495865e-22,0.32891474106232266,True,0.3399816670611869,7.070711732124945e-24,1.529626832970788e-06,0.3250483654711854,1.6261676225058795e-06,0.16252499581940394,45
receiving_netTotalYards,0.32891474106232266,2.292944676495865e-22,0.32891474106232266,True,0.3399816670611869,7.070711732124945e-24,1.0938950484537882e-06,0.3250483654711854,1.1629350844742734e-06,0.1625247642031349,46
rushing_netTotalYards,0.32891474106232266,2.292944676495865e-22,0.32891474106232266,True,0.3399816670611869,7.070711732124945e-24,3.19716879598612e-08,0.3250483654711854,3.398954743493381e-08,0.16252419973036641,47
passing_totalYardsFromScrimmage,0.32891474106232266,2.292944676495865e-22,0.32891474106232266,True,0.3399816670611869,7.070711732124945e-24,2.0694159934999874e-08,0.3250483654711854,2.200025008434023e-08,0.16252419373571772,48
receiving_totalYards,0.32891474106232266,2.292944676495865e-22,0.32891474106232266,True,0.3399816670611869,7.070711732124945e-24,1.4561113549583339e-08,0.3250483654711854,1.5480122923703342e-08,0.16252419047565414,49
rushing_totalYardsFromScrimmage,0.32891474106232266,2.292944676495865e-22,0.32891474106232266,True,0.3399816670611869,7.070711732124945e-24,1.0154633889585207e-17,0.3250483654711854,1.0675903188373937e-17,0.1625241827355927,50
passing_netTotalYards,0.32891474106232266,2.292944676495865e-22,0.32891474106232266,True,0.3399816670611869,7.070711732124945e-24,1.0816293110987947e-17,0.3250483654711854,1.1379322335962997e-17,0.1625241827355927,51
rushing_totalYards,0.32891474106232266,2.292944676495865e-22,0.32891474106232266,True,0.3399816670611869,7.070711732124945e-24,1.208331178958713e-17,0.3250483654711854,1.2726307566502343e-17,0.1625241827355927,52
rushing_rushingFirstDowns,0.3221617160971125,1.7880637447823185e-21,0.3221617160971125,True,0.33552329635566897,2.9211899814395507e-23,4.2286793027533604e-07,0.31825643377908164,4.495567951525503e-07,0.1591284416679384,53
miscellaneous_firstDownsRushing,0.3221617160971125,1.7880637447823185e-21,0.3221617160971125,True,0.33552329635566897,2.9211899814395507e-23,3.124435005120743e-07,0.31825643377908164,3.321630435890058e-07,0.1591283829710626,54
passing_avgGain,0.3197797586343991,3.644734515202076e-21,0.3197797586343991,True,0.3262528042206692,5.184279567599691e-22,2.9208196495566206e-06,0.31586075295995364,3.105164111212228e-06,0.15793192906203243,55
rushing_netYardsPerGame,0.3030302866843747,4.56220547773701e-19,0.3030302866843747,True,0.3169758220981694,8.359855700830876e-21,1.5069497257890326e-06,0.29901478097711,1.6020592735437683e-06,0.14950819151819175,56
receiving_yardsFromScrimmagePerGame,0.3030302866843747,4.56220547773701e-19,0.3030302866843747,True,0.3169758220981694,8.359855700830876e-21,7.317337409651151e-07,0.29901478097711,7.779163467873103e-07,0.14950777944672838,57
passing_yardsFromScrimmagePerGame,0.3030302866843747,4.56220547773701e-19,0.3030302866843747,True,0.3169758220981694,8.359855700830876e-21,5.33760388617886e-07,0.29901478097711,5.674481144271475e-07,0.1495076742126122,58
passing_netYardsPerGame,0.3030302866843747,4.56220547773701e-19,0.3030302866843747,True,0.3169758220981694,8.359855700830876e-21,4.795614833886131e-07,0.29901478097711,5.098285022711949e-07,0.14950764540280612,59
rushing_yardsFromScrimmagePerGame,0.3030302866843747,4.56220547773701e-19,0.3030302866843747,True,0.3169758220981694,8.359855700830876e-21,3.838627353685793e-07,0.29901478097711,4.0808982837365684e-07,0.14950759453346918,60
receiving_netYardsPerGame,0.3030302866843747,4.56220547773701e-19,0.3030302866843747,True,0.3169758220981694,8.359855700830876e-21,1.8026840380686446e-07,0.29901478097711,1.9164585460496795e-07,0.1495074863114823,61
passing_netPassingYards,0.302502137403293,5.286174901969839e-19,0.302502137403293,True,0.31321479505836997,2.510837031037116e-20,5.520202204174048e-08,0.2984835888285809,5.868603963138781e-08,0.14924182375731027,62
passing_passingYards,0.302502137403293,5.286174901969839e-19,0.302502137403293,True,0.31321479505836997,2.510837031037116e-20,5.059129717623985e-08,0.2984835888285809,5.378431371304832e-08,0.1492418213064473,63
miscellaneous_firstDowns,0.2981049087210226,1.7808523473174832e-18,0.2981049087210226,True,0.3054775641024759,2.296445471028149e-19,1.7053258857149135e-08,0.2940610260513957,1.8129557362476128e-08,0.14703052209047654,64
defensive_passesDefended,0.2959777919989443,3.1809151880841596e-18,0.2959777919989443,True,0.2756413939808946,6.3996952587263045e-16,1.3019777996022869e-05,0.29192165420664234,1.3841507597136005e-05,0.14596774785711975,65
defensiveInterceptions_interceptionYards,0.29218273702498576,8.847119083775171e-18,0.29218273702498576,True,0.30838145386328947,1.0084067234459111e-19,2.347544666654281e-06,0.2881047344878948,2.495707480422156e-06,0.1440536150976876,66
rushing_rushingYards,0.28959089987207454,1.763525556982333e-17,0.28959089987207454,True,0.29837457396428785,1.6540157006999962e-18,1.4104735471303293e-06,0.28549796478241923,1.499494102290079e-06,0.14274973213826075,67
miscellaneous_thirdDownConvPct,0.27997386868258023,2.1436013833761968e-16,0.27997386868258023,True,0.28028430498668644,1.9805391356176235e-16,2.901819132284662e-07,0.27582552624467066,3.0849643962659605e-07,0.13791291737055514,68
receiving_receivingBigPlays,0.27899923341295024,2.746244080488308e-16,0.27899923341295024,True,0.30134123082311637,7.299335263708241e-19,4.3830679485562226e-07,0.27484527573321177,4.659700674406389e-07,0.1374228708516396,69
passing_passingBigPlays,0.27899923341295024,2.746244080488308e-16,0.27899923341295024,True,0.30134123082311637,7.299335263708241e-19,2.383811015599099e-07,0.27484527573321177,2.5342627418543716e-07,0.13742276457974298,70
