,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,missing_pct
punting_fairCatches,829.0,16.50904655456543,7.430286407470703,0.0,13.0,17.0,21.0,42.0,-0.21046893298625946,0.39310434460639954,0.0
rushing_yardsPerRushAttempt,829.0,4.025704161824593,1.173531402282362,0.0,3.930966377258301,4.25,4.592391490936279,5.8780035972595215,-2.5988163445405927,6.56786371357944,0.0
receiving_netYardsPerGame,829.0,299.33292237280915,90.01009837797494,0.0,286.125,315.70588235294116,347.75,471.8235294117647,-2.338671646323697,5.517481536969836,0.0
returning_fumbleRecoveries,829.0,8.781664656212303,4.099823447178762,0.0,6.0,9.0,11.0,24.0,-0.020911891978269512,0.5223664516264823,0.0
home_wins,829.0,4.594692400482509,1.8597622850024516,0.0,3.0,5.0,6.0,9.0,-0.09196468376489245,-0.5679778174399406,0.0
receiving_receivingTouchdowns,829.0,22.004825592041016,9.4563570022583,0.0,17.0,22.0,28.0,55.0,-0.17315040528774261,0.8583422899246216,0.0
passing_netTotalYards,829.0,4908.21728515625,1494.5986328125,0.0,4659.0,5205.0,5751.0,8021.0,-2.237143039703369,5.132458209991455,0.0
punting_netAvgPuntYards,829.0,37.29213005352362,10.426063525715747,0.0,37.413333333333334,39.810810810810814,41.86746987951807,48.0,-3.0322731347121463,8.186522331127422,0.0
returning_puntReturnYards,829.0,289.2207336425781,135.1238250732422,0.0,213.0,286.0,371.0,742.0,0.0572364404797554,0.5099005103111267,0.0
passing_sacks,829.0,35.551265716552734,14.320734024047852,0.0,28.0,37.0,44.0,85.0,-0.6034988760948181,0.8617079257965088,0.0
defensive_sacks,829.0,35.57539367675781,12.634424209594727,0.0,31.0,37.0,43.0,70.0,-1.2120811939239502,2.021946907043457,0.0
total_OTLosses,829.0,0.4764776839565742,0.6582726213402952,0.0,0.0,0.0,1.0,3.0,1.1309008355069545,0.4079003991952783,0.0
rushing_twoPtRush,829.0,0.3956574185765983,0.7174703672674259,0.0,0.0,0.0,1.0,5.0,2.2773358783654265,6.445657326468739,0.0
scoring_kickExtraPoints,829.0,35.009650180940895,13.620012396448516,0.0,28.0,36.0,44.0,75.0,-0.6550617601370751,1.1478830295384292,0.0
kicking_extraPointPct,829.0,90.36317112134277,24.628251119025812,0.0,94.11764705882352,97.61904761904762,100.0,100.0,-3.318162037265097,9.34714718732892,0.0
