feature,count,mean,median,std,min,max,q25,q75,skewness,kurtosis
road_OTLosses,13564,0.015924506045414333,0.0,0.1251881446834459,0.0,1.0,0.0,0.0,7.733852758869717,57.812478495876725
punting_fairCatches,13564,1.0089943408966064,1.0,1.0752454996109009,0.0,7.0,0.0,2.0,1.1113079257707865,1.2305551774625023
scoring_fieldGoals,13564,1.474270126806252,1.0,1.2193003033247314,0.0,8.0,1.0,2.0,0.6668445909877074,0.11807806204716709
punting_touchbacks,13564,0.33596283197402954,0.0,0.5902959108352661,0.0,4.0,0.0,1.0,1.7569787064833657,2.920441880549138
punting_longPunt,13564,49.15555883220289,53.0,15.564626424311715,0.0,90.0,47.0,57.0,-2.165141954538303,4.606876256737432
scoring_kickExtraPointsMade,13564,2.0738720141551164,2.0,1.5171846183795918,0.0,10.0,1.0,3.0,0.5591435823182289,0.009499283999655717
returning_longKickReturn,13564,25.626511353583012,25.0,18.06493711173489,-1.0,109.0,19.0,32.0,1.2703854490255786,3.900160979947727
passing_longPassing,13564,36.04792096726629,34.0,17.804824791098678,0.0,99.0,25.0,46.0,0.3150934958224174,0.4283317383104257
road_wins,13564,0.21837216160424652,0.0,0.4131565626996541,0.0,1.0,0.0,0.0,1.3633486471785508,-0.1412804662364162
home_OTLosses,13564,0.013196697139486877,0.0,0.11412056990875113,0.0,1.0,0.0,0.0,8.531700269687205,70.7899094917808
returning_longPuntReturn,13564,11.88314656443527,9.0,14.341275422175398,-3.0,99.0,0.0,16.0,2.574420550926598,8.775426786418064
passing_completions,13564,19.404895782470703,20.0,7.802671909332275,0.0,47.0,16.0,24.0,-0.5878849250351043,0.78287790300217
home_losses,13564,0.21837216160424652,0.0,0.4131565626996541,0.0,1.0,0.0,0.0,1.3633486471785508,-0.1412804662364162
road_losses,13564,0.28059569448540256,0.0,0.44930683723785764,0.0,1.0,0.0,1.0,0.9766706202566156,-1.0461144995275589
scoring_twoPointPassConvs,13564,0.0482158655263934,0.0,0.2223365004308886,0.0,2.0,0.0,0.0,4.692610885150872,22.51717317073595
kicking_fieldGoalAttempts50,13564,0.24277499262754348,0.0,0.5079579022915602,0.0,4.0,0.0,0.0,2.1592068501540416,4.716472291159296
punting_puntYards,13564,188.2715301513672,189.0,99.39293670654297,0.0,564.0,125.0,253.0,0.08247919274528141,-0.1375844162458404
total_losses,13564,0.49896785608964905,0.0,0.5000173667989808,0.0,1.0,0.0,1.0,0.004128584437948829,-1.9999829547905386
returning_kickReturnTouchdowns,13564,0.021306399255990982,0.0,0.14843738079071045,0.0,2.0,0.0,0.0,7.163733864643665,53.666981459838425
defensive_safeties,13564,0.028531406074762344,0.0,0.1691276580095291,0.0,2.0,0.0,0.0,5.936071923500789,35.268853590222214
passing_twoPtPass,13564,0.0482158655263934,0.0,0.2223365004308886,0.0,2.0,0.0,0.0,4.692610885150872,22.51717317073595
passing_sacks,13564,2.1728103160858154,2.0,1.7702792882919312,0.0,12.0,1.0,3.0,0.873839169491884,0.7666676428940042
scoring_receivingTouchdowns,13564,1.3448835611343384,1.0,1.1577179431915283,0.0,7.0,0.0,2.0,0.7475919197865426,0.31361366295438664
scoring_passingTouchdowns,13564,1.3448835611343384,1.0,1.1577179431915283,0.0,7.0,0.0,2.0,0.7475919197865426,0.31361366295438664
passing_passingTouchdowns,13564,1.3448835611343384,1.0,1.1577179431915283,0.0,7.0,0.0,2.0,0.7475919197865426,0.31361366295438664
defensiveInterceptions_interceptionTouchdowns,13564,0.08736360955470363,0.0,0.2993608323765722,0.0,3.0,0.0,0.0,3.4777635476236757,12.243909810549614
total_wins,13564,0.49896785608964905,0.0,0.5000173667989808,0.0,1.0,0.0,1.0,0.004128584437948829,-1.9999829547905386
passing_interceptions,13564,0.855131208896637,1.0,0.9997541904449463,0.0,7.0,0.0,1.0,1.2083311961941476,1.3075390873884896
receiving_receivingTouchdowns,13564,1.3448835611343384,1.0,1.1577179431915283,0.0,7.0,0.0,2.0,0.7475919197865426,0.31361366295438664
kicking_fieldGoalsMadeYards,13564,52.87238311767578,45.0,45.79863739013672,0.0,274.0,19.0,81.0,0.8293987730700104,0.5432059291214713
kicking_fieldGoalsMade30_39,13564,0.4642435859628428,0.0,0.6827121349907171,0.0,4.0,0.0,1.0,1.430467841679172,1.8482133188184013
home_wins,13564,0.28059569448540256,0.0,0.44930683723785764,0.0,1.0,0.0,1.0,0.9766706202566156,-1.0461144995275589
returning_kickReturnFairCatches,13564,0.013933942653238773,0.0,0.14782117307186127,0.0,5.0,0.0,0.0,16.22034381570966,376.1316071551855
