feature,category,correlation,abs_correlation,p_value,significant,sample_size,missing_pct
diff_cpoe_3wk,tier_sa_differential,0.11535405776878423,0.11535405776878423,9.730903527575583e-13,True,3802,72.16691068814055
opp_qb_out,tier_sa_opponent,0.08080508183012661,0.08080508183012661,1.3101355988374461e-12,True,7683,43.75549048316252
diff_injury_impact,tier_sa_differential,-0.07802870312525151,0.07802870312525151,7.661222205130679e-12,True,7674,43.82137628111274
opp_cpoe_3wk,tier_sa_opponent,-0.07797671221589457,0.07797671221589457,1.0381993643686267e-06,True,3914,71.34699853587115
qb_out,tier_sa_base,-0.07764110803363344,0.07764110803363344,2.6767687404022967e-12,True,8092,40.76134699853587
cpoe_3wk,tier_sa_base,0.07619028753212312,0.07619028753212312,5.18388778429976e-07,True,4330,68.30161054172767
diff_pressure_rate_3wk,tier_sa_differential,-0.0750759061237589,0.0750759061237589,2.4366903345776972e-05,True,3154,76.91068814055637
diff_separation_3wk,tier_sa_differential,0.06223628364999838,0.06223628364999838,0.00015561925578345064,True,3688,73.00146412884334
pressure_rate_3wk,tier_sa_base,-0.05504536516155563,0.05504536516155563,0.0013854538062637197,True,3372,75.31478770131773
opp_injury_impact,tier_sa_opponent,0.05361025093384448,0.05361025093384448,2.580030507426865e-06,True,7683,43.75549048316252
injury_impact,tier_sa_base,-0.052177137816726386,0.052177137816726386,2.6518022635981328e-06,True,8092,40.76134699853587
opp_pressure_rate_3wk,tier_sa_opponent,0.05107820845547371,0.05107820845547371,0.0041136474393985096,True,3154,76.91068814055637
ryoe_3wk,tier_sa_base,0.040833301801206145,0.040833301801206145,0.026465958732897532,True,2954,78.37481698389458
separation_3wk,tier_sa_base,0.039771553001077355,0.039771553001077355,0.009412091291348406,True,4262,68.79941434846266
opp_separation_3wk,tier_sa_opponent,-0.0384082436730493,0.0384082436730493,0.017144970347933768,True,3851,71.8081991215227
diff_ryoe_3wk,tier_sa_differential,0.03364442291779211,0.03364442291779211,0.11350571411976375,False,2214,83.79209370424597
opp_ryoe_3wk,tier_sa_opponent,-0.028477996209362783,0.028477996209362783,0.14185506692288152,False,2662,80.51244509516837
time_to_throw_3wk,tier_sa_base,0.01751662586410937,0.01751662586410937,0.249157762318409,False,4330,68.30161054172767
opp_time_to_throw_3wk,tier_sa_opponent,-0.013873829140865166,0.013873829140865166,0.38553745530215044,False,3914,71.34699853587115
diff_time_to_throw_3wk,tier_sa_differential,0.013271376442651547,0.013271376442651547,0.41330877216745676,False,3802,72.16691068814055
