week,games,correct,accuracy,avg_confidence
1,14,7,0.5,0.6403839275694253
2,16,7,0.4375,0.6403852547357111
3,15,11,0.7333333333333333,0.6423025087838704
4,15,10,0.6666666666666666,0.6398753793714516
5,13,4,0.3076923076923077,0.6455006783833899
6,14,9,0.6428571428571429,0.639799942373288
7,15,9,0.6,0.6389764137475245
8,13,8,0.6153846153846154,0.6411950965298258
9,12,3,0.25,0.6410377437486164
10,13,8,0.6153846153846154,0.6376374561405516
11,14,7,0.5,0.6347360512833039
12,13,8,0.6153846153846154,0.6370763612638174
13,15,8,0.5333333333333333,0.6401636616808732
14,14,6,0.42857142857142855,0.6366941829236821
15,15,9,0.6,0.6389538266546657
16,15,6,0.4,0.6384399082254562
