feature,avg_importance
away_diff_total_differential,0.02813895770706429
home_diff_total_differential,0.02663042038807607
away_diff_point_diff_trend,0.020041209940222796
away_diff_total_differential_roll5,0.01116279962321078
home_diff_point_diff_trend,0.008542152456146248
away_diff_total_winPercent,0.007878464762609531
home_diff_total_pointsFor,0.00767514309424139
away_diff_total_pointsFor_roll5,0.007629636479264895
away_diff_total_pointsFor,0.007223118495298765
home_diff_total_differential_roll3,0.006786730134378113
home_diff_total_winPercent,0.006491706006684491
home_diff_total_differential_roll5,0.005364691158280637
away_diff_total_differential_roll3,0.005269846532765373
away_opp_total_differential_roll5,0.004398282684414133
home_opp_total_differential_roll5,0.004199378484933846
away_diff_win_streak,0.003722873404422292
home_diff_win_streak,0.0034713491584917083
away_opp_total_differential_roll3,0.0034686907846069787
home_opp_total_differential,0.003284006708082957
home_diff_total_pointsFor_roll5,0.0032818730352295335
away_opp_total_differential,0.0032257653401418724
home_opp_total_winPercent,0.002353635929811019
away_diff_total_pointsAgainst,0.0019151807821181088
away_opp_point_diff_trend,0.0012114558120802153
away_opp_total_pointsFor_roll5,0.0011149904781619297
away_opp_total_winPercent,0.0008273034595927051
home_win_streak,0.0008204931813581443
away_diff_total_pointsAgainst_roll5,0.0008039433656146114
home_div_game,0.0007911023590466387
home_diff_total_pointsFor_roll3,0.0007416315394809691
home_diff_total_pointsAgainst_roll5,0.0006802348078027294
home_point_diff_trend,0.0005505622836827546
away_opp_win_streak,0.00043555857349751175
home_diff_total_pointsAgainst_roll3,0.00042773542694273653
home_opp_total_pointsAgainst_roll3,0.00028461939633355984
away_div_game,0.0002487070477253133
home_opp_total_pointsFor_roll5,0.00021461158316864255
away_scored_30plus,0.00015890341089552996
away_opp_total_pointsFor_roll3,0.00015005184756139434
home_scored_20plus,7.184207803216898e-05
home_scored_30plus,6.87126680650249e-05
home_points_allowed_trend,2.5164503451073133e-05
home_vsdiv_ties,0.0
away_vsdiv_divisionWins,0.0
home_vsdiv_losses,0.0
away_vsdiv_losses,0.0
home_vsconf_leagueWinPercent,0.0
away_vsdiv_ties,0.0
away_vsdiv_divisionWinPercent,0.0
home_vsdiv_wins,0.0
away_vsdiv_wins,0.0
home_rest_advantage,0.0
home_vsdiv_divisionTies,0.0
home_vsdiv_divisionWins,0.0
home_vsconf_losses,0.0
home_vsdiv_divisionWinPercent,0.0
away_vsdiv_divisionTies,0.0
away_vsconf_leagueWinPercent,0.0
away_vsdiv_divisionLosses,0.0
home_vsconf_OTLosses,0.0
away_vsdiv_OTLosses,0.0
home_vsdiv_OTLosses,0.0
away_vsconf_wins,0.0
home_vsconf_wins,0.0
away_vsconf_ties,0.0
home_vsconf_ties,0.0
away_vsconf_OTLosses,0.0
away_vsconf_losses,0.0
home_vsdiv_divisionLosses,0.0
away_rest_advantage,0.0
away_streak_20plus,-9.706314558923595e-06
away_win_streak,-3.1685291908080836e-05
away_scored_20plus,-3.7202049751000697e-05
away_opp_points_scored_trend,-0.00011355163576133377
home_opp_total_pointsFor_roll3,-0.00011985043084541239
home_points_scored_trend,-0.00012045125893579003
home_opp_points_allowed_trend,-0.00013359011183077297
away_opp_total_pointsAgainst_roll3,-0.00014361100466407675
away_diff_points_scored_trend,-0.0001449680791240356
away_diff_total_pointsFor_roll3,-0.00023400487735045266
home_streak_20plus,-0.0003191710970675094
away_opp_total_pointsFor,-0.00037903626941827043
away_point_diff_trend,-0.00042814277989365775
home_diff_points_scored_trend,-0.0006155366366848974
home_opp_total_pointsAgainst,-0.0006289911545242839
home_diff_total_pointsAgainst,-0.0006378200152933532
away_diff_total_pointsAgainst_roll3,-0.0007951087142758975
away_opp_points_allowed_trend,-0.000824054460822495
home_streak_30plus,-0.0009181755231893648
away_points_allowed_trend,-0.0010691723499175077
away_opp_total_pointsAgainst_roll5,-0.0010759783518830062
home_opp_point_diff_trend,-0.0011503867078536524
home_opp_total_differential_roll3,-0.001168390662902362
home_diff_points_allowed_trend,-0.001171376281893775
home_opp_win_streak,-0.0012547684882717256
away_streak_30plus,-0.0013525078183819269
home_opp_total_pointsAgainst_roll5,-0.001407904919586389
away_opp_total_pointsAgainst,-0.0015204362183974449
away_points_scored_trend,-0.0015919374407926607
away_diff_points_allowed_trend,-0.0018457770172430658
home_opp_total_pointsFor,-0.0021760616742405882
home_opp_points_scored_trend,-0.0024778025909522844
