game_id,home_team,away_team,home_score,away_score,home_win,result,home_kicking_kickoffYards,away_kicking_kickoffYards,away_returning_kickReturns,home_scoring_totalPoints,home_passing_quarterbackRating,home_rushing_rushingAttempts,away_scoring_totalPoints,away_general_turnoverDifferential,home_passing_QBRating,away_kicking_kickoffReturns,home_miscellaneous_turnOverDifferential,away_kicking_kickoffs,home_kicking_kickoffReturns,home_returning_kickReturns,away_kicking_extraPointAttempts,away_scoring_totalPointsPerGame,away_rushing_rushingAttempts,away_miscellaneous_turnOverDifferential,home_kicking_kickoffs,away_kicking_extraPointsMade,home_scoring_totalPointsPerGame,away_scoring_kickExtraPoints,home_general_turnoverDifferential,home_kicking_extraPointsMade,home_receiving_targets,away_scoring_kickExtraPointsMade,home_scoring_kickExtraPoints,away_passing_yardsPerPassAttempt,away_rushing_brokenTackles,home_rushing_brokenTackles,away_passing_passingTouchdownPct,away_kicking_totalKickingPoints,home_scoring_kickExtraPointsMade,home_kicking_totalKickingPoints,away_passing_quarterbackRating,home_defensive_rushingYardsAllowed,home_passing_netPassingAttempts,away_passing_QBRating,home_passing_passingAttempts,home_receiving_yardsPerTarget,away_passing_netYardsPerPassAttempt,home_receiving_catchPct,home_passing_avgGain,away_passing_avgGain,home_passing_passingTouchdownPct,home_passing_yardsPerPassAttempt,home_passing_completionPct,away_defensive_passesDefended,away_defensive_rushingYardsAllowed
2024_02_LA_ARI,ARI,LA,41.0,10.0,1,31.0,195.0,510.0,8,53.0,153.40908765792847,40.0,10.0,0.0,153.40908765792847,8,0.0,8,3,3,1,10.0,20.0,0.0,3,1,53.0,1,0.0,5,22.0,1,5,5.25,14,35,0.0,4,5,11,73.4375,53.0,22.0,73.4375,22.0,12.090909004211426,3.8918919563293457,77.27272510528564,11.727272987365723,6.0,13.636364042758942,11.363636016845703,77.27272510528564,1,231.0
2024_03_DET_ARI,ARI,DET,13.0,20.0,0,-7.0,260.0,195.0,3,19.0,72.6785727776587,18.0,32.0,0.0,72.6785727776587,3,0.0,3,4,4,3,32.0,41.0,0.0,4,2,19.0,3,0.0,1,35.0,2,1,6.920000076293945,37,16,7.999999821186066,2,1,7,100.91666914522648,189.0,35.0,100.91666914522648,35.0,5.914285659790039,5.9259257316589355,60.00000238418579,5.714285850524902,7.440000057220459,2.857142873108387,5.514285564422607,60.00000238418579,6,77.0
2024_04_WAS_ARI,ARI,WAS,14.0,42.0,0,-28.0,444.0,195.0,3,20.0,80.28846407930055,32.0,48.0,0.0,80.28846407930055,3,0.0,3,7,7,4,48.0,37.0,0.0,7,4,20.0,4,0.0,2,26.0,4,2,7.5806450843811035,36,31,3.2258063554763794,10,2,2,95.56451588869095,216.0,26.0,95.56451588869095,26.0,5.461538314819336,7.5806450843811035,61.538463830947876,4.42307710647583,7.5806450843811035,3.8461539894342422,3.384615421295166,61.538463830947876,1,181.0
2024_07_LAC_ARI,ARI,LAC,17.0,15.0,1,2.0,328.0,195.0,3,23.0,66.98718089610338,27.0,15.0,0.0,66.98718089610338,3,-1.0,3,5,5,0,15.0,22.0,0.0,5,0,23.0,0,-1.0,2,26.0,0,2,7.878048896789551,20,26,0.0,15,2,5,89.78658815224966,59.0,26.0,89.78658815224966,26.0,5.57692289352417,7.045454502105713,53.84615659713745,5.57692289352417,8.195121765136719,3.8461539894342422,5.57692289352417,53.84615659713745,5,184.0
2024_09_CHI_ARI,ARI,CHI,29.0,9.0,1,20.0,276.0,390.0,6,27.0,70.923912525177,34.0,9.0,2.0,70.923912525177,6,-2.0,6,5,5,0,9.0,22.0,2.0,5,0,27.0,0,-2.0,3,23.0,0,3,2.702127695083618,20,32,0.0,9,3,9,53.59042584896088,70.0,23.0,53.59042584896088,23.0,6.695652008056641,1.547169804573059,56.521737575531006,5.956521511077881,3.659574508666992,0.0,5.217391490936279,56.521737575531006,3,213.0
2024_10_NYJ_ARI,ARI,NYJ,31.0,6.0,1,25.0,195.0,325.0,5,37.0,121.99999938408534,31.0,6.0,-1.0,121.99999938408534,5,1.0,5,3,3,0,6.0,17.0,-1.0,3,0,37.0,0,1.0,4,25.0,0,4,2.763157844543457,16,30,0.0,6,4,7,62.82894710699717,79.0,25.0,62.82894710699717,25.0,10.640000343322754,2.0,87.99999952316284,10.359999656677246,3.3684210777282715,3.999999910593033,10.079999923706055,87.99999952316284,0,148.0
2024_14_SEA_ARI,ARI,SEA,18.0,30.0,0,-12.0,455.0,260.0,4,30.0,71.97916700194278,23.0,36.0,2.0,71.97916700194278,4,-2.0,4,7,7,3,36.0,31.0,2.0,7,3,30.0,3,-2.0,1,40.0,3,1,7.766666889190674,27,21,3.333333507180214,12,1,4,110.13889039556186,176.0,40.0,110.13889039556186,40.0,6.474999904632568,7.766666889190674,62.5,5.875,7.766666889190674,5.000000074505806,5.275000095367432,62.5,9,124.0
2024_15_NE_ARI,ARI,NE,30.0,17.0,1,13.0,204.0,461.0,7,24.0,96.875,31.0,23.0,-1.0,96.875,7,1.0,7,4,3,2,23.0,24.0,-1.0,4,2,24.0,2,1.0,3,32.0,2,3,7.519999980926514,21,29,3.999999910593033,5,3,12,93.41666586697102,116.0,32.0,93.41666586697102,32.0,7.25,6.703703880310059,78.125,7.25,7.800000190734863,0.0,7.25,78.125,3,164.0
2024_18_SF_ARI,ARI,SF,47.0,24.0,1,23.0,325.0,524.0,8,71.0,128.51190616687137,28.0,36.0,-3.0,128.51190616687137,8,3.0,8,5,5,3,36.0,27.0,-3.0,5,3,71.0,3,3.0,5,35.0,3,5,6.136363506317139,25,26,4.545454680919647,6,5,11,78.78788039088249,139.0,35.0,78.78788039088249,35.0,6.914285659790039,5.26086950302124,71.42857313156128,6.914285659790039,6.7727274894714355,11.428571492433548,6.914285659790039,71.42857313156128,5,151.0
2024_01_PIT_ATL,ATL,PIT,10.0,18.0,0,-8.0,388.0,195.0,3,16.0,51.311728109916054,22.0,18.0,3.0,51.311728109916054,3,-3.0,3,6,6,0,18.0,41.0,3.0,6,0,16.0,0,-3.0,1,27.0,0,1,4.400000095367432,36,21,0.0,18,1,4,77.08333432674408,137.0,27.0,77.08333432674408,27.0,5.740740776062012,3.222222328186035,59.25925970077515,5.0740742683410645,5.320000171661377,3.7037037312984467,4.407407283782959,59.25925970077515,5,89.0
2024_03_KC_ATL,ATL,KC,17.0,22.0,0,-5.0,393.0,259.0,4,23.0,83.80376249551773,24.0,34.0,0.0,83.80376249551773,4,0.0,4,6,6,2,34.0,30.0,0.0,6,1,23.0,2,0.0,2,31.0,1,2,5.564102649688721,29,20,5.128205195069313,10,2,5,87.23290807877979,141.0,31.0,87.23290807877979,31.0,7.4193549156188965,5.564102649688721,64.51612710952759,7.387096881866455,5.564102649688721,3.2258063554763794,7.354838848114014,64.51612710952759,4,83.0
2024_04_NO_ATL,ATL,NO,26.0,24.0,1,2.0,322.0,452.0,7,20.0,64.12036862845221,15.0,30.0,0.0,64.12036862845221,7,-1.0,7,5,5,3,30.0,33.0,0.0,5,3,20.0,3,-1.0,2,36.0,3,2,6.243243217468262,30,15,0.0,6,2,14,79.89865041648349,131.0,36.0,79.89865041648349,36.0,6.611111164093018,5.973684310913086,58.33333134651184,6.30555534362793,6.351351261138916,0.0,6.0,58.33333134651184,7,88.0
2024_05_TB_ATL,ATL,TB,36.0,30.0,1,6.0,520.0,388.0,6,60.0,104.88388060281675,18.0,48.0,0.0,104.88388060281675,6,0.0,6,8,8,3,48.0,25.0,0.0,8,3,60.0,3,0.0,3,61.0,3,3,6.639999866485596,23,16,11.999999731779099,12,3,12,132.66666531562805,161.0,61.0,132.66666531562805,61.0,8.34426212310791,6.115384578704834,68.8524603843689,7.819672107696533,6.920000076293945,6.557376682758331,7.295082092285156,68.8524603843689,8,73.0
2024_07_SEA_ATL,ATL,SEA,14.0,34.0,0,-20.0,452.0,191.0,3,20.0,62.12606932967901,31.0,46.0,3.0,62.12606932967901,3,-3.0,3,7,7,4,46.0,26.0,3.0,7,4,20.0,4,-3.0,2,39.0,4,2,7.666666507720947,25,28,6.666667014360428,10,2,2,109.02777761220932,103.0,39.0,109.02777761220932,39.0,6.307692527770996,7.22580623626709,64.10256624221802,5.487179279327393,7.866666793823242,2.5641025975346565,4.666666507720947,64.10256624221802,5,156.0
2024_09_DAL_ATL,ATL,DAL,27.0,21.0,1,6.0,253.0,327.0,5,45.0,128.3179019888242,27.0,33.0,1.0,128.3179019888242,5,-1.0,5,5,4,1,33.0,21.0,1.0,5,1,45.0,1,-1.0,3,27.0,1,3,4.4528303146362305,20,23,3.7735849618911743,7,3,3,81.95754985014597,137.0,27.0,81.95754985014597,27.0,8.222222328186035,4.089285850524902,70.37037014961243,7.777777671813965,4.584905624389648,11.11111119389534,7.333333492279053,70.37037014961243,3,111.0
2024_13_LAC_ATL,ATL,LAC,13.0,17.0,0,-4.0,325.0,260.0,4,13.0,35.72916785875957,37.0,17.0,3.0,35.72916785875957,4,-3.0,4,5,5,0,17.0,14.0,3.0,5,0,13.0,0,-3.0,1,40.0,0,1,3.799999952316284,14,33,0.0,9,1,7,65.13888835906982,59.0,40.0,65.13888835906982,40.0,6.125,2.7142856121063232,60.00000238418579,5.849999904632568,4.433333396911621,0.0,5.574999809265137,60.00000238418579,9,116.0
