week,games,spread_wr,totals_wr
1,16,0.4375,0.5
2,16,0.5,0.375
3,16,0.625,0.4375
4,16,0.5625,0.375
5,15,0.4666666666666667,0.6666666666666666
6,14,0.42857142857142855,0.5714285714285714
7,16,0.5625,0.4375
8,17,0.5882352941176471,0.6470588235294118
9,17,0.4117647058823529,0.5294117647058824
10,14,0.42857142857142855,0.42857142857142855
11,14,0.5714285714285714,0.14285714285714285
12,13,0.46153846153846156,0.38461538461538464
13,16,0.6875,0.75
14,14,0.14285714285714285,0.5714285714285714
15,16,0.25,0.4375
16,16,0.5,0.625
17,16,0.6875,0.5625
18,16,0.3125,0.6875
19,6,0.5,0.5
20,4,1.0,0.5
21,2,0.0,0.0
22,1,0.0,1.0
