feature,importance
home_implied_prob,0.11351346
away_implied_prob,0.05475731
away_qb_out,0.052233078
away_short_week,0.049742185
away_separation_3wk,0.037162427
spread_line,0.03589251
rest_advantage,0.03472941
home_ryoe_3wk,0.034403622
home_pressure_rate_3wk,0.032918606
cpoe_diff,0.032306485
separation_diff,0.031371046
ryoe_diff,0.030474097
away_pressure_rate_3wk,0.030088272
home_time_to_throw_3wk,0.028289737
elo_diff,0.028137915
away_time_to_throw_3wk,0.028059533
home_separation_3wk,0.02775763
home_injury_impact,0.02743532
bad_weather,0.026875068
injury_diff,0.026759021
away_cpoe_3wk,0.02672877
total_line,0.026087288
pressure_diff,0.02605713
home_cpoe_3wk,0.025858056
away_injury_impact,0.0253334
away_ryoe_3wk,0.021055177
is_grass,0.02019219
div_game,0.01665834
is_dome,0.01435151
home_short_week,0.013696982
is_windy,0.009100216
is_cold,0.008741187
home_qb_out,0.003233091
is_primetime,0.0
elo_prob,0.0
